url,emails,phones
http://verdecora.es/,[],[]
http://lacasadelascarcasas.es/,['su@email.com'],"['927170287', '9999999', '95946031']"
http://www.aldajoyeros.com/,[],[]
http://www.nutrimarket.com/,['att.clientes@indiex.es'],"['790315011', '644526451']"
http://www.bullpadel.com/,[],[]
http://www.masmusculo.com/,['info@masmusculo.com'],"['642606259', '01837534475', '910609655', '0694805914', '0012261']"
http://www.zapatosvas.com/,['clientes@zapatosvas.com'],['931695073909']
http://www.tiendashoke.es/,"['info@tiendashoke.es', 'contact@avis-verifies.com']","['94814671', '6770587']"
http://www.ahorrototal.com/,"['tiendaonline@ahorrototal.com', 'atencionalcliente@ahorrototal.com']",['967089468']
http://frutascharito.es/,['info@frutascharito.es'],"['914571625', '96610169492', '043800991592']"
http://www.coosy.es/,[],['913260506']
